,Dormitorios,Superficie,Num_baños,Metro,Renfe,Tipo_de_inmueble,Año_de_construccion,Calefaccion,Etiqueta,Aire acondicionado,Ascensor,Jardin,Tipo,distrito/ciudad,Latitud,Longitud,Precio,residuos
146,4.0,94.0,1.0,1.0,1.0,Media,1959.0,1.0,E,0.0,1.0,0.0,piso,Almendrales,40.3843762,-3.6992931,215000.0,19362.0
147,3.0,60.0,1.0,0.0,1.0,Popular,1965.0,1.0,En proceso,0.0,1.0,0.0,piso,Alcalá de Henares,40.4818396,-3.3644973,156000.0,39134.0
148,3.0,111.0,2.0,0.0,0.0,Media,1998.0,1.0,E,0.0,1.0,0.0,piso,Valdemoro,40.1888604,-3.67143,185000.0,20610.0
149,3.0,55.0,1.0,1.0,0.0,Popular,1960.0,0.0,F,0.0,0.0,0.0,piso,Simancas,40.4362,-3.6248,120000.0,924.0
150,3.0,72.0,1.0,0.0,0.0,Media,1974.0,1.0,En proceso,0.0,1.0,0.0,piso,Alcalá de Henares,40.4818396,-3.3644973,139900.0,17062.0
151,3.0,102.0,1.0,1.0,0.0,Popular,1986.0,0.0,E,0.0,0.0,0.0,piso,Portazgo,40.3914367,-3.6481261,199000.0,9326.0
152,2.0,50.0,2.0,1.0,0.0,Media,1965.0,1.0,D,1.0,0.0,0.0,piso,Latina,40.3914,-3.7576,169000.0,22080.0
153,3.0,75.0,1.0,0.0,0.0,Popular,1974.0,0.0,En proceso,0.0,0.0,0.0,piso,Ciempozuelos,40.1580087,-3.6205514,143000.0,77194.0
154,3.0,58.0,1.0,1.0,0.0,Popular,1964.0,0.0,E,0.0,0.0,0.0,piso,Latina,40.3914,-3.7576,170000.0,21628.0
155,3.0,137.0,2.0,0.0,0.0,Señorial,2005.0,0.0,D,0.0,0.0,0.0,piso,Villanueva del Pardillo,40.4949232,-3.9600065,395000.0,66090.0
156,3.0,148.0,2.0,0.0,0.0,Popular,2001.0,0.0,F,1.0,0.0,0.0,piso,Alcalá de Henares,40.4818396,-3.3644973,265000.0,42742.0
157,3.0,100.0,2.0,1.0,0.0,Media,1979.0,1.0,E,1.0,1.0,0.0,piso,Aluche,40.392356,-3.7571096,315000.0,31900.0
158,3.0,71.0,1.0,1.0,0.0,Popular,1965.0,0.0,E,1.0,0.0,0.0,piso,Carabanchel,40.3742112,-3.744676,150000.0,1384.0
159,3.0,126.0,2.0,0.0,0.0,Popular,1973.0,1.0,E,0.0,1.0,0.0,piso,Majadahonda,40.473055,-3.8724138,439000.0,83794.0
